Team 1,Team 2,Date,t1_win_tf,t1_win_akkio,t1_win_player,Winner_tf,Winner_akkio,Winner_player,Correct_tf,Correct_akkio,Correct_player
100 Thieves,Team Liquid,16/04/2022,0.49626,0.0,0.09469,Team Liquid,Team Liquid,100 Thieves,N,N,Y
Cloud9,Evil Geniuses,17/04/2022,0.52076,1.0,0.45071,Cloud9,Cloud9,Cloud9,N,N,N
Evil Geniuses,Team Liquid,23/04/2022,0.49325,0.0,0.24511,Team Liquid,Team Liquid,Team Liquid,N,N,N
100 Thieves,Evil Geniuses,24/04/2022,0.51078,1.0,0.00026,100 Thieves,100 Thieves,100 Thieves,N,N,N
Astralis,Misfits Gaming,19/06/2022,0.9389,0.5,0.98781,Astralis,Misfits Gaming,Astralis,Y,N,Y
Team BDS,Team Vitality,19/06/2022,0.03199,0.0,0.01185,Team Vitality,Team Vitality,Team Vitality,Y,Y,Y
Fnatic,SK Gaming,19/06/2022,0.92596,0.5,0.99978,Fnatic,SK Gaming,Fnatic,Y,N,Y
Excel Esports,G2 Esports,19/06/2022,0.59883,1.0,0.37211,Excel Esports,Excel Esports,G2 Esports,N,N,Y
MAD Lions,Rogue,19/06/2022,0.9974,1.0,0.98682,MAD Lions,MAD Lions,MAD Lions,N,N,N
100 Thieves,Dignitas,19/06/2022,0.90755,0.5,0.0013,100 Thieves,Dignitas,100 Thieves,Y,Y,Y
Evil Geniuses,FlyQuest,19/06/2022,0.63796,0.0,0.91564,Evil Geniuses,FlyQuest,Evil Geniuses,Y,N,Y
Cloud9,Team Liquid,19/06/2022,0.00231,0.0,0.00052,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Counter Logic Gaming,Golden Guardians,19/06/2022,0.97092,1.0,0.00048,Counter Logic Gaming,Counter Logic Gaming,Counter Logic Gaming,Y,Y,Y
Immortals,TSM,19/06/2022,0.35757,0.5,0.49466,TSM,Immortals,TSM,Y,N,Y
DWG KIA,Gen.G,22/06/2022,0.49693,0.43488,0.1236,Gen.G,Gen.G,Gen.G,Y,Y,Y
Fredit BRION,KT Rolster,22/06/2022,0.48151,0.4986,0.9829,KT Rolster,KT Rolster,KT Rolster,Y,Y,Y
Kwangdong Freecs,Nongshim RedForce,23/06/2022,0.80214,0.99985,0.4921,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs,N,N,N
Liiv SANDBOX,T1,23/06/2022,0.26171,0.00014,7e-05,T1,T1,T1,Y,Y,Y
Astralis,SK Gaming,24/06/2022,0.98009,0.4985,0.99984,Astralis,SK Gaming,Astralis,Y,N,Y
Excel Esports,Team Vitality,24/06/2022,0.50785,0.0001,0.78728,Excel Esports,Team Vitality,Excel Esports,Y,N,Y
Misfits Gaming,Rogue,24/06/2022,0.10276,0.50035,0.0227,Rogue,Misfits Gaming,Rogue,Y,N,Y
G2 Esports,Team BDS,24/06/2022,0.99891,0.99987,1.0,G2 Esports,G2 Esports,G2 Esports,N,N,N
Fnatic,MAD Lions,24/06/2022,0.07252,0.00014,0.78629,MAD Lions,MAD Lions,Fnatic,Y,Y,N
DRX,Hanwha Life Esports,24/06/2022,0.99375,0.99986,0.9999,DRX,DRX,DRX,Y,Y,Y
Fredit BRION,Gen.G,24/06/2022,0.00302,0.00014,0.99999,Gen.G,Gen.G,Gen.G,Y,Y,Y
Misfits Gaming,SK Gaming,25/06/2022,0.5,0.50029,0.47172,SK Gaming,Misfits Gaming,SK Gaming,N,Y,N
Excel Esports,MAD Lions,25/06/2022,0.49987,0.99896,0.51901,MAD Lions,Excel Esports,Excel Esports,N,Y,Y
Astralis,Rogue,25/06/2022,0.5082,0.99983,0.92783,Astralis,Astralis,Astralis,N,N,N
Fnatic,Team BDS,25/06/2022,0.45124,0.00015,0.95666,Team BDS,Team BDS,Fnatic,N,N,Y
G2 Esports,Team Vitality,25/06/2022,0.50555,0.9999,0.99592,G2 Esports,G2 Esports,G2 Esports,Y,Y,Y
DWG KIA,T1,25/06/2022,0.49999,9e-05,0.94803,T1,T1,T1,Y,Y,Y
KT Rolster,Liiv SANDBOX,25/06/2022,0.50003,0.50528,0.99346,KT Rolster,KT Rolster,KT Rolster,N,N,N
Cloud9,Dignitas,25/06/2022,0.5,0.49441,0.91951,Cloud9,Dignitas,Cloud9,Y,N,Y
